date,Ticket Collections,Booting and Towing Collections,Photo Safety Collections,Retail Sales Tax Collections,Hotel/Motel Sales Tax Collections,Vehicle Sales Tax Collections,Occupational License Collections,EMS Collections,Property Tax Collections,Sanitation Collections,Subrogation Collections
Jan 2011,727741,94250,1528887.15,11499610,766763,669182,1386731,711814,,1522875.97,73645
Feb 2011,657010,142060,1616232,10073546,827033,735057,3620663,617192,,2400652.87,77644
Mar 2011,1244181,186000,1533879.5,10660830,1044504,663401,2062865,1014413,,2955042.5,0
Apr 2011,923757,229575,983646.26,12488195,1356587,811763,453222,652261,,2601282.17,101515
May 2011,765990,221322,796533.2,11582196,1258058,749968,596873,851945,,2720060.63,23889
Jun 2011,763491,178802,1276337.14,11367936,1211869,736418,510107,1097818,,2844981.27,8119
Jul 2011,770851,150516,1530649.07,11311130,890119,719309,130964,783499,,2509612.39,100454
Aug 2011,646035,108190,1475815.2,9914740,783257,747128,93066,855013,,2974820.63,53599
Sep 2011,768052,157945,1617145.85,10310650,582967,831053,102568,631652,,2668205.94,35762
Oct 2011,817154,156458,1621683.19,10698511,801163,820005,91814,860553,,2765551.29,45668
Nov 2011,996933,158861,1497703.6,11498568,1172724,793919,122683,782863,,2725012,39264
Dec 2011,1097011,139031,1621684.19,10956106,946614,645578,150265,699839,,2716992,25681
Jan 2012,1245558,213438,1640549.01,12147185,851353,664733,1525681,451092,,2843867,13454
Feb 2012,1527483,215070,1092595.7,11001482,1191562,756902,3431341,633788,,2916360,64740
Mar 2012,1345844,146467,935956.99,11381656,1400060,689273,2488770,706072,,3011319,19173
Apr 2012,1266876,291843,1329044.31,12761013,1610053,852399,446799,593465,,2750736,25492
May 2012,1096885,169875,2115560.13,12141356,1617134,830083,628470,467388,,2982398,17384
Jun 2012,880835,78104,1455638.99,12083348,1493942,920719,548597,587104,,2662848,
Jul 2012,867799,188907,1552518.9,11318443,1016581,804663,82620,545273,,2771371.92,8769
Aug 2012,469851,230423,1090505.92,10528652,1081880,825994,87142,568944,,2422192,92952
Sep 2012,787753,113438,801374.54,9832409,768925,748513,62256,401434,,2654488.26,86300
Oct 2012,833833,135708,949050.5,10862100,1271022,767348,52203,750526,,3176553.39,144487
Nov 2012,934146,142363,932472.5,11941602,1613536,899965,49069,778236,,2640987,72261
Dec 2012,773417,135493,1379751.06,11477051,1143470,771084,27328,594385,,2542511,11852
Jan 2013,980026,134181,1191582.66,13137346,867827,864860,1636230,1045564,88944733.73,3064296,5143
Feb 2013,1154639,202680,869595,11367192,1224673,1011553,3131963,638117,10478868.14,2851685,994
Mar 2013,1316136,150963,974556,12742073,1815998,755563,2456107,408484,1536274.95,2729764,617
Apr 2013,980080,181902,1415421,14163232,1844676,928564,703636,702745,1744287.16,3104762,53714
May 2013,940251,206912,1534705,13118215,1591404,993051,533181,666377,1124896.44,2906836,206948
Jun 2013,719523,129586,1487366,13375164,1348671,935728,839311,280397,902113.24,2592134.31,
Jul 2013,908928,267778,1185985,12298242,990361,918168,94391,709435,919721.53,2926458.75,41189
Aug 2013,768838,207088,991229.5,11198673,1039494,1020375,115529,493327,1049040.05,2725544,
Sep 2013,741894,210374,1234067,11329119,699962,1018618,56360,698869,1351072.72,2622691,
Oct 2013,840479,225894,1430854,12120088,910587,891657,71601,759539,464628.3,3013268,
Nov 2013,772368,229343,1593785.08,13381295,1577916,981193,69309,280552,334404.98,2458006,109783
Dec 2013,934313,293876,1268204.16,12602697,1391864,750190,73293,585628,1458042.36,2943501,39558
Jan 2014,735040,264674,1109914.2,14846480,1130952,884602,1352989,741292,88944733.73,2872928,159160
Feb 2014,804377,211081,1113621.51,12060063,1198202,893312,4042790,946516,10478868.14,2866233,2997
Mar 2014,1206286,343925,1452167.13,13222877,1328861,910259,2370566,1650200,1536274.95,2980624,996
Apr 2014,856137,277272,1333139.89,15058296,2007587,943233,346695,1362317,1744287.16,2984631.61,100552
May 2014,751702,190831,1208969,14156978,1692836,1084392,238856,759000,1124896.44,2814138.1,57654
Jun 2014,738740,305216,1798156.51,14158818,1482812,1071196,808623,1000185,902113.24,2743850.03,46806
Jul 2014,790925,264403,1470468.5,13927662,1073972,964517,773910,1258653,919721.53,2910111.48,90277
Aug 2014,450348,150740,857919.03,12712954,1121881,1050893,123594,1039639,1049040.05,2702549.77,177
Sep 2014,646210,198372,1213433.25,12702447,835577,1009289,102762,1106299,1351072.72,2939402.61,12853
Oct 2014,740910,194905,999735.77,13610631,1181995,1001177,143277,1388091,464628.3,2974814,70700
Nov 2014,617346,181738,885607,14310076,1648896,1109919,88318,987182,334404.98,2365352.89,589
Dec 2014,786148,205057,1380037.98,13769109,1503992,801000,105981,1230233,1458042.36,3029720,7360
Jan 2015,705811,252440,949157.92,15436966,1109551,1017294,1767347,1198539,87945122.31,2625522,100434
Feb 2015,988417,297287,1303464.26,13170359,1271154,988675,2782441,950000,17815859.79,2925499,193508
Mar 2015,1157746,239164,1901402.37,14184934,1578046,905601,2729665,1224214,2659597.79,3289116,130336
Apr 2015,1101465,308489,1226670.82,16013917,1786124,1104989,255540,1161724,2985325.03,2933500.69,350954
May 2015,1124998,305094,1177615.49,14575819,1768410,1117526,1728712,1090870,1616246.65,2823966,171501
Jun 2015,1152881,311102,1529912.71,14541628,1713821,1097726,603396,1042956,1434711.69,3048632.42,106461
Jul 2015,1216189,343437,1261514.12,14606416,1526600,1157453,216510,1118567,1389844.87,2864109.91,388370
Aug 2015,1098538,316804,1470321.57,13750632,1243448,1183032,151751,973234,1072329.84,2772237,8945
Sep 2015,1293181,469631,1203563.06,13267925,910761,1088707,102147,991610,1695836.85,2936536.96,283829
Oct 2015,1312429,343387,1440872.58,13780297,985197,1196652,59830,1033702,1364123.09,2907775.92,357407
Nov 2015,1122923,293618,1479102.24,14899207,1683626,1105236,121399,1227254,0,2627198.38,8516
Dec 2015,1187970,306064,1108575.17,13728542,1436716,897045,100607,1241185,2143913.14,2872070.36,26091
Jan 2016,1067715.97,235158,1110534.25,16093782.05,1248918.22,1061944.42,1640267.5,1025736.82,86561236.4,2883605.18,163031
Feb 2016,1539518.88,286432,1287196.59,13428910.36,1198439.3,983628,3055225,953200,26118221.34,2969236.93,136263
Mar 2016,1586105.38,269549,1344767.23,14479792.52,1661418.28,996764.99,2719309.56,1056634.17,,3272850.6,104611
Apr 2016,1265522.83,261040,1402693,15926811.04,1806668.09,1241032.27,314033,1198488,,2921639.64,
